,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
0,tautira,PF,1596608887,-17.73,-149.15,26.0,69,20,2.1
1,butaritari,KI,1596608887,3.07,172.79,28.64,77,87,6.7
2,dikson,RU,1596608888,73.51,80.55,8.29,91,47,9.7
3,ushuaia,AR,1596608865,-54.8,-68.3,9.0,39,40,2.1
4,asau,RO,1596608888,46.43,26.4,21.11,68,0,3.1
5,bredasdorp,ZA,1596608888,-34.53,20.04,2.0,93,45,2.1
6,hermanus,ZA,1596608889,-34.42,19.23,2.78,96,1,3.53
7,tabou,CI,1596608890,4.42,-7.35,21.51,83,30,2.2
8,saint-francois,FR,1596608891,46.42,3.91,12.0,87,0,0.43
9,mecca,SA,1596608688,21.43,39.83,31.34,52,11,3.6
10,ulladulla,AU,1596608891,-35.35,150.47,13.33,35,0,8.2
11,banepa,NP,1596608892,27.63,85.52,28.0,74,40,1.0
12,arraial do cabo,BR,1596608892,-22.84,-46.65,14.0,76,0,7.2
13,pochutla,MX,1596608892,15.74,-96.47,26.11,91,98,1.87
14,chuy,UY,1596608892,-33.7,-53.46,13.11,86,52,3.05
15,punta arenas,PH,1596608893,8.99,125.34,29.35,74,60,2.02
16,tougue,GN,1596608893,11.47,-11.6,18.93,99,100,1.07
17,xichang,CN,1596608894,27.9,102.26,29.76,53,44,0.91
18,talnakh,RU,1596608894,69.49,88.4,19.0,59,89,3.0
19,luganville,VU,1596608894,-15.53,167.17,27.0,74,20,1.0
20,mar del plata,ES,1596608895,43.4,-4.01,18.89,100,34,2.42
21,albany,US,1596608777,42.6,-73.97,20.56,90,20,1.73
22,liverpool,GB,1596608896,53.41,-2.98,18.33,82,40,4.1
23,hithadhoo,MV,1596608896,-0.6,73.08,27.86,76,100,6.11
24,yellowknife,CA,1596608773,62.46,-114.35,15.0,100,75,4.1
25,khani,GE,1596608896,41.96,42.96,24.0,73,1,1.5
26,honiara,SB,1596608605,-9.43,159.95,29.0,70,20,4.1
27,fairbanks,US,1596608829,64.84,-147.72,16.0,87,20,1.5
28,skaerbaek,DK,1596608897,55.16,8.77,18.0,77,99,5.7
29,ivankiv,UA,1596608897,50.94,29.89,23.0,56,32,2.0
30,riyadh,SA,1596608849,24.69,46.72,37.0,12,0,5.7
31,rikitea,PF,1596608898,-23.12,-134.97,22.86,89,94,5.22
32,georgetown,MY,1596608899,5.41,100.34,32.78,66,20,4.1
33,beyneu,KZ,1596608899,45.32,55.2,25.84,36,24,5.5
34,hami,CN,1596608899,42.8,93.45,38.88,12,1,4.35
35,coihaique,CL,1596608899,-45.58,-72.07,-2.0,92,88,1.17
36,nantucket,US,1596608901,41.28,-70.1,22.22,94,1,5.7
37,laguna,US,1596608902,38.42,-121.42,20.0,72,1,5.7
38,kidal,ML,1596608657,18.44,1.41,26.55,67,21,3.32
39,fallon,US,1596608795,39.47,-118.78,27.0,19,1,4.6
40,busselton,AU,1596608902,-33.65,115.33,18.33,45,7,4.18
41,lata,PT,1596608903,40.16,-8.33,16.11,98,17,1.34
42,belaya gora,UA,1596608903,49.03,25.77,18.68,69,54,3.11
43,mataura,NZ,1596608903,-46.19,168.86,9.44,88,21,1.48
44,beinamar,TD,1596608904,8.67,15.38,21.61,89,61,2.21
45,effingham,US,1596608904,32.37,-81.33,27.0,94,20,1.5
46,konin,PL,1596608915,52.22,18.25,14.45,72,44,1.4
47,sapulpa,US,1596608833,36.0,-96.11,22.0,56,1,2.1
48,tura,IN,1596608919,25.52,90.22,31.62,72,83,2.48
49,monrovia,LR,1596608919,6.3,-10.8,22.87,76,81,2.45
50,port elizabeth,CD,1596608920,-7.03,29.76,23.34,56,77,3.6
51,faanui,PF,1596608922,-16.48,-151.75,25.56,75,8,5.41
52,kapaa,US,1596608823,22.08,-159.32,27.0,69,75,7.7
53,nikolskoye,RU,1596608923,59.7,30.79,18.0,88,75,3.0
